<TICKER>;<PER>;<DATE>;<TIME>;LAST;<VOL>
GAZP;0;18.02.2021;10:00:22;228.920000000;100
GAZP;0;18.02.2021;10:00:22;228.940000000;570
GAZP;0;18.02.2021;10:00:23;228.750000000;1000
GAZP;0;18.02.2021;10:00:23;228.750000000;320
GAZP;0;18.02.2021;10:00:23;228.750000000;490
GAZP;0;18.02.2021;10:00:24;228.940000000;100
GAZP;0;18.02.2021;10:00:25;228.780000000;10
GAZP;0;18.02.2021;10:00:26;228.940000000;100
GAZP;0;18.02.2021;10:00:26;228.780000000;800
GAZP;0;18.02.2021;10:00:26;228.760000000;1200
GAZP;0;18.02.2021;10:00:27;228.870000000;10
GAZP;0;18.02.2021;10:00:27;228.910000000;50
GAZP;0;18.02.2021;10:00:27;228.780000000;50
GAZP;0;18.02.2021;10:00:27;228.760000000;10
GAZP;0;18.02.2021;10:00:27;228.770000000;10
GAZP;0;18.02.2021;10:00:28;228.910000000;540
GAZP;0;18.02.2021;10:00:28;228.910000000;10
GAZP;0;18.02.2021;10:00:29;228.780000000;550
GAZP;0;18.02.2021;10:00:29;228.760000000;2060
GAZP;0;18.02.2021;10:00:29;228.740000000;390
GAZP;0;18.02.2021;10:00:29;228.870000000;2000
GAZP;0;18.02.2021;10:00:30;228.760000000;230
GAZP;0;18.02.2021;10:00:30;228.740000000;70
GAZP;0;18.02.2021;10:00:30;228.910000000;10
GAZP;0;18.02.2021;10:00:30;228.910000000;990
GAZP;0;18.02.2021;10:00:32;228.830000000;300
GAZP;0;18.02.2021;10:00:36;228.890000000;120
GAZP;0;18.02.2021;10:00:36;228.890000000;500
GAZP;0;18.02.2021;10:00:36;228.780000000;10
GAZP;0;18.02.2021;10:00:36;228.780000000;10
GAZP;0;18.02.2021;10:00:36;228.760000000;980
GAZP;0;18.02.2021;10:00:37;228.770000000;400
GAZP;0;18.02.2021;10:00:38;228.770000000;50
GAZP;0;18.02.2021;10:00:38;228.770000000;180
GAZP;0;18.02.2021;10:00:39;228.870000000;170
GAZP;0;18.02.2021;10:00:40;228.760000000;1770
GAZP;0;18.02.2021;10:00:40;228.750000000;8230
GAZP;0;18.02.2021;10:00:41;228.870000000;20
GAZP;0;18.02.2021;10:00:41;228.880000000;4380
GAZP;0;18.02.2021;10:00:41;228.890000000;700
GAZP;0;18.02.2021;10:00:41;228.890000000;100
GAZP;0;18.02.2021;10:00:41;228.890000000;1500
GAZP;0;18.02.2021;10:00:41;228.900000000;300
GAZP;0;18.02.2021;10:00:41;228.780000000;30
GAZP;0;18.02.2021;10:00:42;228.760000000;100
GAZP;0;18.02.2021;10:00:44;228.760000000;4280
GAZP;0;18.02.2021;10:00:44;228.750000000;11770
GAZP;0;18.02.2021;10:00:44;228.740000000;10
GAZP;0;18.02.2021;10:00:44;228.730000000;10
GAZP;0;18.02.2021;10:00:44;228.720000000;2200
GAZP;0;18.02.2021;10:00:44;228.690000000;200
GAZP;0;18.02.2021;10:00:44;228.610000000;400
GAZP;0;18.02.2021;10:00:44;228.610000000;200
GAZP;0;18.02.2021;10:00:44;228.610000000;3770
GAZP;0;18.02.2021;10:00:44;228.610000000;200
GAZP;0;18.02.2021;10:00:44;228.610000000;100
GAZP;0;18.02.2021;10:00:44;228.610000000;100
GAZP;0;18.02.2021;10:00:44;228.600000000;1640
GAZP;0;18.02.2021;10:00:44;228.600000000;1000
GAZP;0;18.02.2021;10:00:44;228.600000000;300
GAZP;0;18.02.2021;10:00:44;228.690000000;10
GAZP;0;18.02.2021;10:00:44;228.690000000;200
GAZP;0;18.02.2021;10:00:45;228.590000000;10
GAZP;0;18.02.2021;10:00:45;228.580000000;10
GAZP;0;18.02.2021;10:00:45;228.550000000;1630
GAZP;0;18.02.2021;10:00:45;228.530000000;210
GAZP;0;18.02.2021;10:00:45;228.520000000;160
GAZP;0;18.02.2021;10:00:45;228.520000000;650
GAZP;0;18.02.2021;10:00:45;228.510000000;250
GAZP;0;18.02.2021;10:00:45;228.510000000;20
GAZP;0;18.02.2021;10:00:45;228.510000000;3970
GAZP;0;18.02.2021;10:00:45;228.500000000;1000
GAZP;0;18.02.2021;10:00:45;228.500000000;3000
GAZP;0;18.02.2021;10:00:45;228.500000000;5000
GAZP;0;18.02.2021;10:00:45;228.500000000;10
GAZP;0;18.02.2021;10:00:45;228.500000000;3000
GAZP;0;18.02.2021;10:00:45;228.460000000;3000
GAZP;0;18.02.2021;10:00:45;228.450000000;100
GAZP;0;18.02.2021;10:00:45;228.450000000;10
GAZP;0;18.02.2021;10:00:45;228.450000000;6560
GAZP;0;18.02.2021;10:00:45;228.420000000;50
GAZP;0;18.02.2021;10:00:45;228.410000000;6000
GAZP;0;18.02.2021;10:00:45;228.400000000;10
GAZP;0;18.02.2021;10:00:45;228.400000000;6560
GAZP;0;18.02.2021;10:00:45;228.350000000;10
GAZP;0;18.02.2021;10:00:45;228.350000000;3780
GAZP;0;18.02.2021;10:00:45;228.480000000;100
GAZP;0;18.02.2021;10:00:45;228.470000000;1000
GAZP;0;18.02.2021;10:00:45;228.470000000;540
GAZP;0;18.02.2021;10:00:45;228.460000000;500
GAZP;0;18.02.2021;10:00:45;228.460000000;500
GAZP;0;18.02.2021;10:00:45;228.500000000;80
GAZP;0;18.02.2021;10:00:45;228.460000000;20
GAZP;0;18.02.2021;10:00:45;228.460000000;80
GAZP;0;18.02.2021;10:00:45;228.450000000;60
GAZP;0;18.02.2021;10:00:45;228.620000000;10
GAZP;0;18.02.2021;10:00:45;228.500000000;140
GAZP;0;18.02.2021;10:00:45;228.460000000;100
GAZP;0;18.02.2021;10:00:46;228.500000000;70
GAZP;0;18.02.2021;10:00:46;228.600000000;160
GAZP;0;18.02.2021;10:00:46;228.600000000;770
GAZP;0;18.02.2021;10:00:46;228.610000000;100
GAZP;0;18.02.2021;10:00:46;228.470000000;1000
GAZP;0;18.02.2021;10:00:46;228.470000000;370
GAZP;0;18.02.2021;10:00:47;228.470000000;50
GAZP;0;18.02.2021;10:00:47;228.610000000;10
GAZP;0;18.02.2021;10:00:48;228.470000000;80
GAZP;0;18.02.2021;10:00:48;228.450000000;880
GAZP;0;18.02.2021;10:00:48;228.440000000;920
GAZP;0;18.02.2021;10:00:48;228.440000000;500
GAZP;0;18.02.2021;10:00:48;228.440000000;2250
GAZP;0;18.02.2021;10:00:48;228.430000000;500
GAZP;0;18.02.2021;10:00:48;228.430000000;500
GAZP;0;18.02.2021;10:00:48;228.420000000;1550
GAZP;0;18.02.2021;10:00:48;228.420000000;200
GAZP;0;18.02.2021;10:00:48;228.400000000;1770
GAZP;0;18.02.2021;10:00:48;228.530000000;1500
GAZP;0;18.02.2021;10:00:48;228.550000000;70
GAZP;0;18.02.2021;10:00:48;228.430000000;200
GAZP;0;18.02.2021;10:00:49;228.490000000;10
GAZP;0;18.02.2021;10:00:49;228.490000000;2000
GAZP;0;18.02.2021;10:00:49;228.490000000;100
GAZP;0;18.02.2021;10:00:49;228.350000000;10
GAZP;0;18.02.2021;10:00:50;228.350000000;600
GAZP;0;18.02.2021;10:00:50;228.490000000;500
GAZP;0;18.02.2021;10:00:50;228.490000000;10
GAZP;0;18.02.2021;10:00:50;228.350000000;10
GAZP;0;18.02.2021;10:00:50;228.350000000;280
GAZP;0;18.02.2021;10:00:50;228.350000000;10
GAZP;0;18.02.2021;10:00:52;228.510000000;10
GAZP;0;18.02.2021;10:00:52;228.510000000;150
GAZP;0;18.02.2021;10:00:53;228.510000000;30
GAZP;0;18.02.2021;10:00:53;228.510000000;100
GAZP;0;18.02.2021;10:00:53;228.520000000;70
GAZP;0;18.02.2021;10:00:53;228.380000000;70
GAZP;0;18.02.2021;10:00:53;228.380000000;200
GAZP;0;18.02.2021;10:00:53;228.370000000;100
GAZP;0;18.02.2021;10:00:53;228.360000000;30
GAZP;0;18.02.2021;10:00:53;228.370000000;1000
GAZP;0;18.02.2021;10:00:53;228.520000000;10
GAZP;0;18.02.2021;10:00:54;228.520000000;20
GAZP;0;18.02.2021;10:00:54;228.520000000;360
GAZP;0;18.02.2021;10:00:54;228.380000000;80
GAZP;0;18.02.2021;10:00:55;228.520000000;10
GAZP;0;18.02.2021;10:00:57;228.540000000;1500
GAZP;0;18.02.2021;10:00:57;228.550000000;10
GAZP;0;18.02.2021;10:00:57;228.550000000;290
GAZP;0;18.02.2021;10:00:58;228.550000000;210
GAZP;0;18.02.2021;10:00:58;228.600000000;290
GAZP;0;18.02.2021;10:00:59;228.500000000;30
GAZP;0;18.02.2021;10:00:59;228.500000000;500
GAZP;0;18.02.2021;10:00:59;228.580000000;40
GAZP;0;18.02.2021;10:00:59;228.420000000;100
GAZP;0;18.02.2021;10:00:59;228.410000000;1500
GAZP;0;18.02.2021;10:00:59;228.380000000;20
GAZP;0;18.02.2021;10:00:59;228.380000000;400
GAZP;0;18.02.2021;10:00:59;228.380000000;180
GAZP;0;18.02.2021;10:01:00;228.390000000;30
GAZP;0;18.02.2021;10:01:00;228.390000000;70
GAZP;0;18.02.2021;10:01:00;228.380000000;20
GAZP;0;18.02.2021;10:01:00;228.380000000;50
GAZP;0;18.02.2021;10:01:00;228.370000000;60
GAZP;0;18.02.2021;10:01:00;228.380000000;100
GAZP;0;18.02.2021;10:01:00;228.360000000;2200
GAZP;0;18.02.2021;10:01:00;228.360000000;2180
GAZP;0;18.02.2021;10:01:01;228.500000000;80
GAZP;0;18.02.2021;10:01:02;228.500000000;10
GAZP;0;18.02.2021;10:01:02;228.490000000;500
GAZP;0;18.02.2021;10:01:02;228.490000000;100
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.350000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:04;228.490000000;2000
GAZP;0;18.02.2021;10:01:05;228.490000000;70
GAZP;0;18.02.2021;10:01:05;228.490000000;160
GAZP;0;18.02.2021;10:01:05;228.380000000;100
GAZP;0;18.02.2021;10:01:05;228.380000000;430
GAZP;0;18.02.2021;10:01:05;228.370000000;470
GAZP;0;18.02.2021;10:01:05;228.490000000;100
GAZP;0;18.02.2021;10:01:05;228.490000000;1410
GAZP;0;18.02.2021;10:01:05;228.500000000;500
GAZP;0;18.02.2021;10:01:05;228.500000000;10
GAZP;0;18.02.2021;10:01:05;228.500000000;2880
GAZP;0;18.02.2021;10:01:06;228.500000000;100
GAZP;0;18.02.2021;10:01:06;228.500000000;10
GAZP;0;18.02.2021;10:01:06;228.500000000;100
GAZP;0;18.02.2021;10:01:07;228.350000000;670
GAZP;0;18.02.2021;10:01:07;228.360000000;100
GAZP;0;18.02.2021;10:01:07;228.350000000;160
GAZP;0;18.02.2021;10:01:07;228.350000000;230
GAZP;0;18.02.2021;10:01:07;228.350000000;210
GAZP;0;18.02.2021;10:01:07;228.350000000;250
GAZP;0;18.02.2021;10:01:07;228.400000000;30
GAZP;0;18.02.2021;10:01:08;228.400000000;10
GAZP;0;18.02.2021;10:01:08;228.400000000;20
GAZP;0;18.02.2021;10:01:08;228.500000000;500
GAZP;0;18.02.2021;10:01:08;228.400000000;3970
GAZP;0;18.02.2021;10:01:09;228.490000000;40
GAZP;0;18.02.2021;10:01:09;228.370000000;100
GAZP;0;18.02.2021;10:01:09;228.360000000;50
GAZP;0;18.02.2021;10:01:11;228.370000000;100
GAZP;0;18.02.2021;10:01:11;228.360000000;250
GAZP;0;18.02.2021;10:01:11;228.360000000;10
GAZP;0;18.02.2021;10:01:11;228.480000000;50
GAZP;0;18.02.2021;10:01:12;228.400000000;20
GAZP;0;18.02.2021;10:01:12;228.360000000;190
GAZP;0;18.02.2021;10:01:12;228.370000000;100
GAZP;0;18.02.2021;10:01:12;228.360000000;110
GAZP;0;18.02.2021;10:01:13;228.370000000;1000
GAZP;0;18.02.2021;10:01:13;228.490000000;10
GAZP;0;18.02.2021;10:01:13;228.490000000;20
GAZP;0;18.02.2021;10:01:13;228.370000000;10
GAZP;0;18.02.2021;10:01:15;228.370000000;20
GAZP;0;18.02.2021;10:01:15;228.370000000;80
GAZP;0;18.02.2021;10:01:15;228.360000000;820
GAZP;0;18.02.2021;10:01:15;228.400000000;1200
GAZP;0;18.02.2021;10:01:16;228.490000000;100
GAZP;0;18.02.2021;10:01:16;228.380000000;10
GAZP;0;18.02.2021;10:01:17;228.490000000;10
GAZP;0;18.02.2021;10:01:17;228.370000000;90
GAZP;0;18.02.2021;10:01:17;228.360000000;310
GAZP;0;18.02.2021;10:01:17;228.360000000;2670
GAZP;0;18.02.2021;10:01:17;228.350000000;340
GAZP;0;18.02.2021;10:01:17;228.350000000;10
GAZP;0;18.02.2021;10:01:17;228.350000000;6980
GAZP;0;18.02.2021;10:01:17;228.470000000;50
GAZP;0;18.02.2021;10:01:18;228.460000000;300
GAZP;0;18.02.2021;10:01:18;228.460000000;200
GAZP;0;18.02.2021;10:01:18;228.360000000;50
GAZP;0;18.02.2021;10:01:18;228.350000000;8950
GAZP;0;18.02.2021;10:01:18;228.350000000;14070
GAZP;0;18.02.2021;10:01:18;228.350000000;3000
GAZP;0;18.02.2021;10:01:18;228.350000000;10950
GAZP;0;18.02.2021;10:01:19;228.360000000;10
GAZP;0;18.02.2021;10:01:19;228.350000000;30
GAZP;0;18.02.2021;10:01:19;228.450000000;100
GAZP;0;18.02.2021;10:01:19;228.370000000;650
GAZP;0;18.02.2021;10:01:19;228.450000000;850
GAZP;0;18.02.2021;10:01:20;228.370000000;350
GAZP;0;18.02.2021;10:01:20;228.350000000;150
GAZP;0;18.02.2021;10:01:20;228.470000000;50
GAZP;0;18.02.2021;10:01:21;228.470000000;1000
GAZP;0;18.02.2021;10:01:21;228.470000000;10
GAZP;0;18.02.2021;10:01:21;228.470000000;190
GAZP;0;18.02.2021;10:01:21;228.480000000;100
GAZP;0;18.02.2021;10:01:21;228.480000000;110
GAZP;0;18.02.2021;10:01:21;228.480000000;150
